"c++",2016,6,29344
"java",2016,6,10886
".net",2016,6,4524
"javascript",2016,6,1521
"php",2016,6,958
"sql",2016,6,443
"ruby-on-rails",2016,6,70
"c++",2016,5,26022
"java",2016,5,24749
".net",2016,5,12470
"javascript",2016,5,12074
"php",2016,5,2701
"ruby-on-rails",2016,5,2630
"sql",2016,5,1417
"aws",2016,5,63
"azure",2016,5,19
"java",2016,4,39713
".net",2016,4,9702
"javascript",2016,4,9335
"c++",2016,4,4651
"php",2016,4,2085
"sql",2016,4,1599
"ruby-on-rails",2016,4,237
"azure",2016,4,97
".net",2016,3,38778
"java",2016,3,17308
"c++",2016,3,7822
"javascript",2016,3,4822
"php",2016,3,3793
"sql",2016,3,2513
"ruby-on-rails",2016,3,323
"aws",2016,3,48
"java",2016,2,17051
".net",2016,2,16544
"c++",2016,2,9592
"javascript",2016,2,3642
"php",2016,2,2934
"sql",2016,2,1669
"ruby-on-rails",2016,2,393
"azure",2016,2,268
"aws",2016,2,257
"c++",2016,1,29188
"java",2016,1,27167
".net",2016,1,26235
"sql",2016,1,8120
"php",2016,1,7332
"javascript",2016,1,5446
"azure",2016,1,189
"aws",2016,1,148
".net",2015,12,18846
"java",2015,12,15000
"c++",2015,12,14997
"javascript",2015,12,7782
"php",2015,12,3740
"sql",2015,12,751
"ruby-on-rails",2015,12,158
"java",2015,11,23082
".net",2015,11,14507
"c++",2015,11,6205
"javascript",2015,11,3936
"php",2015,11,3345
"sql",2015,11,1506
".net",2015,10,45164
"java",2015,10,15729
"javascript",2015,10,13321
"php",2015,10,6372
"c++",2015,10,6206
"sql",2015,10,2227
"azure",2015,10,309
"c++",2015,9,47654
".net",2015,9,37555
"java",2015,9,23505
"javascript",2015,9,8033
"php",2015,9,6435
"azure",2015,9,1576
"sql",2015,9,1485
".net",2015,8,28114
"java",2015,8,27973
"c++",2015,8,14699
"php",2015,8,12941
"sql",2015,8,9087
"javascript",2015,8,5201
"ruby-on-rails",2015,8,255
"azure",2015,8,172
".net",2015,7,38261
"java",2015,7,30798
"javascript",2015,7,26586
"c++",2015,7,15873
"sql",2015,7,7222
"php",2015,7,6906
"azure",2015,7,254
"ruby-on-rails",2015,7,145
".net",2015,6,90057
"java",2015,6,52283
"javascript",2015,6,15772
"sql",2015,6,13000
"c++",2015,6,12646
"php",2015,6,7085
"azure",2015,6,843
"ruby-on-rails",2015,6,148
"aws",2015,6,116
"java",2015,5,65919
".net",2015,5,53258
"c++",2015,5,27893
"sql",2015,5,12795
"javascript",2015,5,10858
"php",2015,5,5875
"aws",2015,5,30
".net",2015,4,90851
"java",2015,4,62818
"javascript",2015,4,43977
"c++",2015,4,31728
"sql",2015,4,9227
"php",2015,4,8043
"azure",2015,4,980
"ruby-on-rails",2015,4,572
".net",2015,3,65516
"java",2015,3,55196
"javascript",2015,3,16858
"sql",2015,3,15656
"c++",2015,3,11262
"php",2015,3,10634
"ruby-on-rails",2015,3,1092
"java",2015,2,53904
".net",2015,2,47249
"c++",2015,2,30218
"javascript",2015,2,24650
"sql",2015,2,13247
"php",2015,2,10797
"ruby-on-rails",2015,2,691
"aws",2015,2,204
"azure",2015,2,175
".net",2015,1,55345
"c++",2015,1,31460
"javascript",2015,1,28454
"java",2015,1,23427
"sql",2015,1,22208
"php",2015,1,16348
"ruby-on-rails",2015,1,12151
"aws",2015,1,283
".net",2014,12,71252
"java",2014,12,56156
"c++",2014,12,29887
"javascript",2014,12,13867
"sql",2014,12,12791
"php",2014,12,7961
"ruby-on-rails",2014,12,197
"java",2014,11,74264
".net",2014,11,59412
"c++",2014,11,40109
"javascript",2014,11,12356
"sql",2014,11,11413
"php",2014,11,10847
"ruby-on-rails",2014,11,1363
".net",2014,10,111261
"java",2014,10,59589
"sql",2014,10,21522
"c++",2014,10,18207
"javascript",2014,10,16938
"php",2014,10,8788
"ruby-on-rails",2014,10,987
"azure",2014,10,486
".net",2014,9,98543
"java",2014,9,54654
"c++",2014,9,52539
"sql",2014,9,11160
"php",2014,9,8377
"javascript",2014,9,7210
"ruby-on-rails",2014,9,909
"azure",2014,9,839
".net",2014,8,133617
"java",2014,8,60436
"c++",2014,8,50723
"javascript",2014,8,35568
"php",2014,8,5854
"sql",2014,8,4368
"ruby-on-rails",2014,8,522
"azure",2014,8,279
"aws",2014,8,79
".net",2014,7,102277
"java",2014,7,64016
"javascript",2014,7,48571
"c++",2014,7,32066
"php",2014,7,16497
"sql",2014,7,11251
"ruby-on-rails",2014,7,1010
"aws",2014,7,482
"java",2014,6,99139
".net",2014,6,92594
"c++",2014,6,54660
"javascript",2014,6,13169
"sql",2014,6,12567
"php",2014,6,8292
"ruby-on-rails",2014,6,822
".net",2014,5,128033
"java",2014,5,88486
"sql",2014,5,51545
"javascript",2014,5,47605
"c++",2014,5,47528
"php",2014,5,28557
"azure",2014,5,1847
"ruby-on-rails",2014,5,774
".net",2014,4,119794
"sql",2014,4,90645
"javascript",2014,4,45744
"java",2014,4,40271
"c++",2014,4,20743
"php",2014,4,18762
"ruby-on-rails",2014,4,692
"azure",2014,4,553
"aws",2014,4,444
"java",2014,3,167049
".net",2014,3,90961
"c++",2014,3,55583
"javascript",2014,3,34649
"php",2014,3,16512
"ruby-on-rails",2014,3,9322
